city,sector,sqft,bhk,floor,total_floors,age_years,amenities_score,dist_metro_km,dist_cyber_city_km,parking_spaces,furnishing,property_type,price_inr
Gurgaon,Sector 56-57,1414,2,8,20,0,2.2,6.8,4.5,1,Fully Furnished,Builder Floor,8042000.0
Gurgaon,Sector 56-57,833,1,4,5,4,4.2,5.6,11.6,3,Semi-Furnished,Builder Floor,4515000.0
Gurgaon,New Gurgaon,1138,2,3,10,4,4.3,0.4,11.1,1,Fully Furnished,Builder Floor,8439000.0
Gurgaon,DLF Phase 1-3,2559,5,12,25,12,9.0,0.2,0.6,1,Unfurnished,Apartment,36237000.0
Gurgaon,Palam Vihar,1259,3,11,20,14,3.5,5.7,10.3,2,Fully Furnished,Apartment,4200000.0
Gurgaon,Golf Course Road,1675,3,0,5,15,9.9,1.0,5.6,2,Unfurnished,Apartment,23300000.0
Gurgaon,Golf Course Road,2253,5,0,20,9,8.5,0.5,6.4,1,Semi-Furnished,Apartment,29569000.0
Gurgaon,New Gurgaon,1066,3,2,10,1,5.8,2.8,13.3,0,Semi-Furnished,Apartment,7873000.0
Gurgaon,Sector 29,1375,2,4,15,3,4.7,1.3,5.5,0,Semi-Furnished,Apartment,14812000.0
Gurgaon,Sector 29,1609,4,17,30,16,6.3,9.5,10.1,1,Unfurnished,Builder Floor,10759000.0
Gurgaon,Golf Course Road,2460,5,6,15,2,7.4,1.0,0.5,1,Fully Furnished,Apartment,38297000.0
Gurgaon,Sector 56-57,1457,3,20,25,18,2.1,0.7,11.4,1,Fully Furnished,Apartment,5663000.0
Gurgaon,New Gurgaon,1229,3,32,40,6,6.7,0.3,9.4,0,Unfurnished,Villa,13818000.0
Gurgaon,Golf Course Road,2638,5,11,20,3,8.6,2.9,4.6,0,Unfurnished,Apartment,39680000.0
Gurgaon,New Gurgaon,1336,2,15,25,3,5.3,3.7,13.7,0,Semi-Furnished,Apartment,8732000.0
Gurgaon,Palam Vihar,757,2,0,5,28,6.9,2.0,6.7,0,Semi-Furnished,Apartment,3374000.0
Gurgaon,Palam Vihar,1125,4,11,30,3,6.2,5.1,9.7,1,Unfurnished,Apartment,4603000.0
Gurgaon,Sohna Road,1639,3,7,20,1,7.0,1.4,8.3,0,Fully Furnished,Apartment,13712000.0
Gurgaon,Sohna Road,1704,3,4,20,8,8.3,1.9,8.6,1,Fully Furnished,Apartment,15301000.0
Gurgaon,Sector 29,1733,3,19,25,3,4.6,4.0,11.4,1,Semi-Furnished,Apartment,16847000.0
Gurgaon,Manesar,927,3,1,5,0,3.5,0.9,10.6,1,Semi-Furnished,Apartment,3985000.0
Gurgaon,Sector 56-57,900,2,8,10,9,5.2,1.6,10.5,0,Unfurnished,Villa,7730000.0
Gurgaon,Manesar,1358,2,10,10,4,4.0,0.3,8.7,0,Semi-Furnished,Apartment,5325000.0
Gurgaon,Sector 56-57,1374,3,6,30,6,3.4,2.1,14.5,0,Unfurnished,Apartment,6232000.0
Gurgaon,Sohna Road,1355,3,0,5,11,4.9,6.3,11.3,0,Fully Furnished,Apartment,8633000.0
Gurgaon,Sohna Road,1170,4,5,10,7,8.5,5.6,10.6,0,Unfurnished,Builder Floor,9779000.0
Gurgaon,New Gurgaon,953,1,1,5,14,6.5,0.7,9.8,0,Semi-Furnished,Apartment,4599000.0
Gurgaon,Sector 29,1746,4,15,15,10,6.9,1.0,10.2,0,Semi-Furnished,Apartment,18757000.0
Gurgaon,Golf Course Road,1914,5,16,40,19,9.3,0.7,1.1,0,Unfurnished,Apartment,30432000.0
Gurgaon,DLF Phase 1-3,1855,5,9,30,1,7.7,0.2,3.5,1,Unfurnished,Builder Floor,25700000.0
Gurgaon,New Gurgaon,1237,3,4,25,0,4.8,0.2,11.9,3,Semi-Furnished,Villa,10068000.0
Gurgaon,New Gurgaon,1255,3,7,20,1,7.4,0.8,5.8,3,Fully Furnished,Apartment,9970000.0
Gurgaon,Manesar,992,1,2,5,6,3.5,7.9,9.5,1,Semi-Furnished,Builder Floor,2827000.0
Gurgaon,New Gurgaon,1600,3,10,10,4,5.5,10.2,12.6,0,Unfurnished,Builder Floor,7211000.0
Gurgaon,Palam Vihar,673,2,20,40,4,5.9,2.2,15.2,1,Fully Furnished,Apartment,4096000.0
Gurgaon,Sector 29,1878,5,4,15,4,5.4,0.4,12.5,1,Semi-Furnished,Builder Floor,21875000.0
Gurgaon,Sohna Road,981,3,18,30,1,4.6,4.9,7.5,2,Semi-Furnished,Apartment,7562000.0
Gurgaon,Golf Course Road,1963,4,25,40,6,6.7,1.1,2.6,1,Semi-Furnished,Villa,36918000.0
Gurgaon,Sohna Road,877,2,4,10,0,4.7,0.6,8.7,0,Semi-Furnished,Builder Floor,7920000.0
Gurgaon,DLF Phase 1-3,1404,3,13,15,11,8.5,1.1,5.9,0,Fully Furnished,Apartment,15210000.0
Gurgaon,Golf Course Road,1467,4,2,15,4,8.3,1.1,7.3,0,Fully Furnished,Apartment,21541000.0
Gurgaon,Sector 56-57,1225,2,30,30,31,2.2,3.1,13.4,0,Fully Furnished,Apartment,3776000.0
Gurgaon,DLF Phase 1-3,2083,5,3,25,0,7.6,0.3,16.2,1,Unfurnished,Builder Floor,22186000.0
Gurgaon,Sector 56-57,1145,2,1,40,2,1.1,4.3,7.0,0,Semi-Furnished,Apartment,4940000.0
Gurgaon,DLF Phase 1-3,2005,5,8,10,8,10.0,0.7,1.5,1,Fully Furnished,Villa,30803000.0
Gurgaon,Sector 56-57,1094,1,2,10,3,2.9,0.2,10.4,3,Unfurnished,Apartment,5217000.0
Gurgaon,Sector 56-57,1021,3,1,10,1,5.4,1.8,15.8,3,Unfurnished,Apartment,3542000.0
Gurgaon,Golf Course Road,1868,3,16,30,9,8.4,1.2,5.6,2,Fully Furnished,Builder Floor,31830000.0
Gurgaon,New Gurgaon,814,2,11,20,3,3.9,0.2,8.1,1,Semi-Furnished,Apartment,5925000.0
Gurgaon,Sector 56-57,1030,3,10,15,12,3.4,3.9,12.6,1,Unfurnished,Apartment,4080000.0
Gurgaon,Manesar,840,1,1,25,2,6.5,3.8,8.6,1,Semi-Furnished,Apartment,3702000.0
Gurgaon,New Gurgaon,1095,2,6,40,20,7.1,4.8,13.0,0,Fully Furnished,Apartment,4826000.0
Gurgaon,Sector 56-57,1257,2,11,20,0,6.0,0.2,10.6,3,Fully Furnished,Apartment,9177000.0
Gurgaon,Sohna Road,1243,3,29,40,2,5.6,5.7,13.2,1,Unfurnished,Builder Floor,9093000.0
Gurgaon,New Gurgaon,1149,2,20,30,1,5.6,2.5,15.5,2,Semi-Furnished,Apartment,8311000.0
Gurgaon,DLF Phase 1-3,1666,4,1,15,6,7.2,0.7,1.6,3,Semi-Furnished,Apartment,20479000.0
Gurgaon,Sohna Road,1224,2,3,40,7,7.4,4.6,10.5,1,Semi-Furnished,Apartment,7416000.0
Gurgaon,New Gurgaon,1338,3,3,15,2,7.0,2.1,14.9,0,Semi-Furnished,Apartment,6999000.0
Gurgaon,Sector 29,1747,4,0,5,0,5.8,1.2,11.0,3,Fully Furnished,Apartment,18014000.0
Gurgaon,Sohna Road,1704,4,15,20,8,5.0,0.5,9.4,0,Unfurnished,Builder Floor,13109000.0
Gurgaon,Manesar,616,2,4,10,22,5.0,4.5,9.9,1,Semi-Furnished,Apartment,1977000.0
Gurgaon,Golf Course Road,1135,3,25,40,5,8.9,0.2,1.1,2,Fully Furnished,Apartment,19089000.0
Gurgaon,Sohna Road,1448,3,13,20,0,5.9,7.8,11.4,2,Semi-Furnished,Villa,13174000.0
Gurgaon,Sector 56-57,977,1,9,30,3,2.9,10.3,15.7,2,Fully Furnished,Apartment,2938000.0
Gurgaon,Golf Course Road,2269,5,3,5,1,8.5,0.6,5.1,1,Semi-Furnished,Builder Floor,40644000.0
Gurgaon,New Gurgaon,922,1,12,30,6,6.1,0.7,3.1,1,Semi-Furnished,Apartment,6714000.0
Gurgaon,Sector 29,807,1,11,15,0,6.6,5.8,11.3,1,Semi-Furnished,Apartment,6973000.0
Gurgaon,Sohna Road,1199,2,31,40,6,6.8,6.9,2.4,1,Semi-Furnished,Builder Floor,10766000.0
Gurgaon,Sector 29,1438,3,2,5,0,3.1,5.2,8.6,1,Semi-Furnished,Apartment,11996000.0
Gurgaon,Golf Course Road,1630,3,13,40,9,8.8,2.7,5.1,0,Unfurnished,Apartment,23837000.0
Gurgaon,Sector 56-57,938,3,7,10,6,6.0,2.6,11.3,0,Semi-Furnished,Apartment,5261000.0
Gurgaon,Manesar,760,2,9,10,2,5.3,2.0,6.1,1,Semi-Furnished,Builder Floor,5006000.0
Gurgaon,Sohna Road,1318,3,29,40,3,4.6,1.3,8.6,2,Unfurnished,Apartment,12428000.0
Gurgaon,Palam Vihar,663,1,30,30,0,4.2,0.2,13.8,0,Semi-Furnished,Villa,5442000.0
Gurgaon,Sohna Road,1104,2,1,5,2,6.6,0.8,13.7,1,Unfurnished,Builder Floor,8757000.0
Gurgaon,Palam Vihar,895,3,0,20,3,3.9,8.3,17.7,1,Unfurnished,Apartment,3264000.0
Gurgaon,Sector 56-57,987,2,23,30,12,3.6,0.2,10.1,1,Unfurnished,Apartment,4628000.0
Gurgaon,Sector 29,1784,4,13,20,1,6.0,4.4,11.5,1,Semi-Furnished,Apartment,15238000.0
Gurgaon,Golf Course Road,2313,5,10,25,3,10.0,2.9,4.5,2,Semi-Furnished,Builder Floor,37623000.0
Gurgaon,Manesar,1066,3,1,20,2,4.0,4.3,14.7,3,Fully Furnished,Apartment,3303000.0
Gurgaon,Palam Vihar,914,2,1,5,3,4.5,1.0,19.5,0,Semi-Furnished,Builder Floor,4297000.0
Gurgaon,Palam Vihar,858,2,9,25,11,4.0,0.5,14.5,0,Unfurnished,Apartment,2451000.0
Gurgaon,New Gurgaon,1117,3,11,20,23,6.3,1.6,10.1,1,Fully Furnished,Apartment,6497000.0
Gurgaon,Golf Course Road,2564,4,11,20,4,9.6,0.9,0.5,0,Unfurnished,Apartment,36711000.0
Gurgaon,Golf Course Road,2141,5,11,25,0,8.5,1.9,11.1,1,Semi-Furnished,Apartment,28770000.0
Gurgaon,Sohna Road,1897,5,5,25,3,8.3,0.4,6.2,1,Unfurnished,Apartment,16710000.0
Gurgaon,Sector 56-57,914,2,9,15,0,2.4,2.2,8.1,1,Semi-Furnished,Builder Floor,5425000.0
Gurgaon,Manesar,1193,2,5,10,0,2.3,1.3,6.3,0,Semi-Furnished,Apartment,5505000.0
Gurgaon,New Gurgaon,1130,2,7,25,3,3.3,0.2,12.3,0,Unfurnished,Villa,6937000.0
Gurgaon,Golf Course Road,2025,4,28,30,0,9.6,1.1,4.8,1,Unfurnished,Apartment,33141000.0
Gurgaon,Sector 29,1507,3,6,30,0,7.4,1.3,8.0,1,Semi-Furnished,Builder Floor,16926000.0
Gurgaon,Manesar,655,2,10,20,1,4.9,1.8,16.6,2,Unfurnished,Apartment,2118000.0
Gurgaon,New Gurgaon,1111,1,35,40,0,7.8,2.9,8.1,2,Unfurnished,Apartment,8298000.0
Gurgaon,Sohna Road,1194,1,1,10,4,5.8,4.1,7.5,0,Fully Furnished,Apartment,7469000.0
Gurgaon,Manesar,869,2,7,15,1,6.4,1.4,13.1,1,Semi-Furnished,Villa,4399000.0
Gurgaon,Palam Vihar,1237,3,16,20,0,1.8,5.7,7.9,0,Fully Furnished,Apartment,6242000.0
Gurgaon,DLF Phase 1-3,1806,4,12,25,8,6.1,2.2,0.5,0,Fully Furnished,Apartment,23240000.0
Gurgaon,DLF Phase 1-3,1395,2,20,20,5,6.8,0.6,5.6,1,Unfurnished,Villa,17965000.0
Gurgaon,New Gurgaon,717,1,24,30,3,5.7,0.3,1.3,0,Semi-Furnished,Apartment,6520000.0
Gurgaon,Manesar,567,1,3,25,5,4.0,6.3,7.0,1,Unfurnished,Builder Floor,2276000.0
Gurgaon,Sector 56-57,1055,1,25,40,8,2.5,5.6,14.9,2,Fully Furnished,Apartment,4509000.0
Gurgaon,Palam Vihar,782,2,4,15,3,3.4,0.2,13.1,1,Fully Furnished,Apartment,3190000.0
Gurgaon,Palam Vihar,1114,2,14,15,6,4.8,2.0,12.6,0,Fully Furnished,Apartment,3905000.0
Gurgaon,DLF Phase 1-3,1684,4,20,30,0,8.9,0.7,1.4,2,Unfurnished,Apartment,24293000.0
Gurgaon,Sohna Road,1513,3,21,30,13,8.0,1.1,8.2,0,Unfurnished,Builder Floor,13359000.0
Gurgaon,New Gurgaon,1459,3,16,40,13,3.8,5.7,5.3,3,Unfurnished,Apartment,5845000.0
Gurgaon,DLF Phase 1-3,1849,3,14,20,1,8.9,1.0,7.5,1,Fully Furnished,Villa,29864000.0
Gurgaon,Golf Course Road,1670,4,19,40,5,7.2,1.3,1.4,0,Semi-Furnished,Builder Floor,25677000.0
Gurgaon,Sector 29,1098,3,9,20,12,4.7,7.3,7.2,1,Semi-Furnished,Villa,11351000.0
Gurgaon,Sector 56-57,1164,2,0,10,0,3.4,13.8,10.3,1,Semi-Furnished,Apartment,3566000.0
Gurgaon,Golf Course Road,2182,5,30,30,10,5.4,0.2,0.5,0,Unfurnished,Builder Floor,38043000.0
Gurgaon,Sector 29,1656,2,3,25,0,5.4,2.1,4.3,2,Semi-Furnished,Apartment,17372000.0
Gurgaon,Golf Course Road,1332,3,6,30,6,7.8,0.5,3.6,0,Unfurnished,Villa,24707000.0
Gurgaon,Palam Vihar,1443,2,6,20,13,5.2,4.3,10.1,1,Semi-Furnished,Apartment,5779000.0
Gurgaon,Sector 29,1606,3,7,20,4,6.3,4.9,12.7,1,Unfurnished,Apartment,12067000.0
Gurgaon,Sohna Road,1339,3,11,30,4,3.2,2.6,6.6,0,Fully Furnished,Builder Floor,9824000.0
Gurgaon,Sector 29,1539,3,12,15,6,5.0,2.8,2.1,2,Unfurnished,Apartment,15915000.0
Gurgaon,Sector 56-57,1257,4,1,5,9,3.9,11.6,10.3,1,Fully Furnished,Apartment,3552000.0
Gurgaon,Palam Vihar,1015,2,0,5,0,6.5,2.0,11.3,2,Unfurnished,Apartment,4055000.0
Gurgaon,DLF Phase 1-3,1639,4,3,15,5,7.2,2.1,2.0,3,Semi-Furnished,Builder Floor,22113000.0
Gurgaon,New Gurgaon,1012,2,4,20,4,5.9,0.5,9.1,1,Semi-Furnished,Apartment,5830000.0
Gurgaon,DLF Phase 1-3,1319,3,15,40,4,10.0,1.2,5.4,2,Unfurnished,Builder Floor,17995000.0
Gurgaon,Sector 29,1359,4,13,25,0,7.2,2.4,11.0,0,Semi-Furnished,Builder Floor,15510000.0
Gurgaon,Sector 29,1521,3,4,30,0,6.5,8.4,9.0,1,Unfurnished,Apartment,13283000.0
Gurgaon,Sohna Road,1515,3,34,40,0,6.5,2.1,13.9,1,Fully Furnished,Apartment,11013000.0
Gurgaon,Manesar,1012,2,20,20,4,3.6,4.5,14.6,3,Unfurnished,Apartment,2946000.0
Gurgaon,Golf Course Road,1704,5,4,30,18,7.9,0.8,4.5,0,Semi-Furnished,Builder Floor,26948000.0
Gurgaon,Sector 56-57,960,2,13,20,1,4.3,6.6,4.0,1,Semi-Furnished,Apartment,4522000.0
Gurgaon,New Gurgaon,1507,3,5,5,12,6.3,0.2,15.0,0,Unfurnished,Builder Floor,8622000.0
Gurgaon,Sector 56-57,1047,2,31,40,0,4.7,2.6,12.4,1,Semi-Furnished,Builder Floor,7875000.0
Gurgaon,Sector 29,1903,4,26,40,1,7.5,5.3,13.0,0,Fully Furnished,Apartment,19101000.0
Gurgaon,Golf Course Road,2379,5,3,10,20,10.0,0.9,0.5,0,Fully Furnished,Apartment,34521000.0
Gurgaon,Golf Course Road,1423,4,2,5,1,9.8,1.6,0.5,1,Semi-Furnished,Apartment,21622000.0
Gurgaon,Golf Course Road,1716,3,4,15,4,7.1,0.2,3.3,1,Fully Furnished,Apartment,26447000.0
Gurgaon,DLF Phase 1-3,2366,5,1,5,5,8.9,3.9,1.6,1,Semi-Furnished,Apartment,33264000.0
Gurgaon,DLF Phase 1-3,1802,4,2,40,0,7.5,0.7,0.5,0,Semi-Furnished,Apartment,26114000.0
Gurgaon,Palam Vihar,920,1,7,40,1,4.4,0.8,5.9,1,Semi-Furnished,Apartment,4674000.0
Gurgaon,Palam Vihar,927,2,5,20,10,4.5,1.4,8.5,2,Unfurnished,Apartment,3782000.0
Gurgaon,Golf Course Road,1450,2,20,30,2,7.9,4.2,0.5,0,Unfurnished,Apartment,23003000.0
Gurgaon,New Gurgaon,1126,3,25,40,2,5.0,1.5,10.1,0,Fully Furnished,Apartment,8055000.0
Gurgaon,Manesar,1038,3,1,10,3,3.7,2.7,7.2,0,Semi-Furnished,Apartment,3560000.0
Gurgaon,New Gurgaon,1112,3,26,40,2,8.8,3.3,8.5,1,Unfurnished,Apartment,8149000.0
Gurgaon,Sohna Road,1261,3,7,30,0,5.1,1.4,18.7,0,Unfurnished,Apartment,7743000.0
Gurgaon,DLF Phase 1-3,1725,4,4,10,3,7.4,2.4,7.2,0,Fully Furnished,Apartment,20751000.0
Gurgaon,New Gurgaon,1308,2,16,20,5,4.4,1.7,1.9,2,Semi-Furnished,Apartment,8087000.0
Gurgaon,Sohna Road,1492,4,33,40,2,7.1,3.0,16.2,3,Semi-Furnished,Apartment,12237000.0
Gurgaon,Sector 29,1488,3,3,10,4,7.0,6.1,9.1,0,Semi-Furnished,Apartment,11003000.0
Gurgaon,Golf Course Road,2201,5,13,20,9,8.0,2.0,6.8,0,Unfurnished,Apartment,28830000.0
Gurgaon,Sector 29,1338,3,15,25,0,6.7,1.0,6.6,3,Semi-Furnished,Apartment,13475000.0
Gurgaon,DLF Phase 1-3,2004,4,20,40,46,7.0,0.2,0.5,2,Semi-Furnished,Apartment,15867000.0
Gurgaon,Sector 29,1749,4,1,5,7,4.9,3.7,12.4,0,Semi-Furnished,Villa,15348000.0
Gurgaon,DLF Phase 1-3,1784,4,14,40,19,6.9,0.6,0.5,1,Unfurnished,Apartment,21486000.0
Gurgaon,Palam Vihar,755,2,7,10,6,5.3,0.7,12.0,1,Fully Furnished,Apartment,3957000.0
Gurgaon,Sector 56-57,1225,2,1,15,8,4.9,0.3,11.5,0,Fully Furnished,Builder Floor,8971000.0
Gurgaon,Palam Vihar,795,1,2,5,2,4.9,4.2,10.0,0,Semi-Furnished,Apartment,2808000.0
Gurgaon,Sohna Road,1346,2,1,10,2,5.8,1.3,6.4,3,Fully Furnished,Builder Floor,13399000.0
Gurgaon,Sector 29,1386,3,3,5,11,5.0,5.0,15.8,2,Unfurnished,Apartment,9980000.0
Gurgaon,New Gurgaon,1349,4,17,20,6,5.6,5.4,9.9,0,Semi-Furnished,Apartment,8049000.0
Gurgaon,Sector 56-57,1321,3,16,25,2,1.0,0.6,16.8,2,Fully Furnished,Apartment,5260000.0
Gurgaon,Palam Vihar,972,2,7,10,2,5.3,1.9,4.9,1,Unfurnished,Apartment,5320000.0
Gurgaon,Palam Vihar,1112,2,10,25,24,5.8,4.1,7.8,0,Unfurnished,Builder Floor,3477000.0
Gurgaon,Sector 29,1245,2,16,25,9,5.9,2.0,17.2,0,Semi-Furnished,Apartment,10207000.0
Gurgaon,DLF Phase 1-3,1854,3,12,15,2,9.0,2.9,0.5,2,Fully Furnished,Builder Floor,27922000.0
Gurgaon,DLF Phase 1-3,1842,4,18,25,10,8.8,0.2,4.3,2,Fully Furnished,Apartment,26258000.0
Gurgaon,Manesar,593,2,1,10,13,5.0,0.5,9.9,2,Semi-Furnished,Apartment,2134000.0
Gurgaon,DLF Phase 1-3,1508,4,5,5,6,8.5,2.5,12.0,0,Fully Furnished,Apartment,16663000.0
Gurgaon,Sector 56-57,1318,2,11,40,17,6.5,0.2,9.0,1,Fully Furnished,Apartment,8525000.0
Gurgaon,Palam Vihar,1140,2,3,15,4,3.0,5.6,3.9,0,Unfurnished,Apartment,4100000.0
Gurgaon,New Gurgaon,943,1,4,20,9,3.8,0.2,10.1,0,Fully Furnished,Apartment,4559000.0
Gurgaon,Manesar,885,3,14,40,0,4.3,0.4,11.8,1,Fully Furnished,Builder Floor,6554000.0
Gurgaon,Manesar,860,1,13,15,6,1.1,18.2,9.9,2,Unfurnished,Apartment,2750000.0
Gurgaon,Sector 56-57,1421,5,13,20,17,2.7,1.9,10.4,0,Fully Furnished,Apartment,5880000.0
Gurgaon,DLF Phase 1-3,1626,4,8,20,4,8.3,0.8,1.2,1,Semi-Furnished,Apartment,23220000.0
Gurgaon,Sector 29,1176,3,24,25,1,8.9,4.1,9.8,3,Fully Furnished,Apartment,14995000.0
Gurgaon,Sohna Road,1425,2,11,15,1,3.6,4.5,6.6,1,Unfurnished,Apartment,10537000.0
Gurgaon,Sohna Road,1369,3,15,20,0,5.7,0.5,14.2,2,Unfurnished,Apartment,8991000.0
Gurgaon,Golf Course Road,2116,5,4,30,4,7.6,4.0,0.9,1,Semi-Furnished,Apartment,30452000.0
Gurgaon,Sector 56-57,1003,3,3,10,3,1.9,3.3,16.1,0,Unfurnished,Apartment,3342000.0
Gurgaon,Sector 29,1848,4,3,5,1,6.3,1.5,15.3,3,Semi-Furnished,Apartment,18101000.0
Gurgaon,Sector 29,1678,5,15,15,1,5.5,1.0,10.6,0,Semi-Furnished,Apartment,17716000.0
Gurgaon,Palam Vihar,1045,1,6,15,24,4.0,0.5,8.4,2,Semi-Furnished,Apartment,3218000.0
Gurgaon,Sector 29,1547,4,2,25,15,4.8,2.3,8.8,0,Semi-Furnished,Villa,14314000.0
Gurgaon,Sector 56-57,1340,3,16,40,16,5.7,2.5,6.7,0,Semi-Furnished,Builder Floor,8178000.0
Gurgaon,Golf Course Road,1601,4,8,20,8,8.4,2.8,2.1,0,Unfurnished,Builder Floor,24699000.0
Gurgaon,Palam Vihar,783,1,6,25,5,3.2,1.9,8.1,0,Semi-Furnished,Villa,4903000.0
Gurgaon,Sector 29,1589,3,36,40,6,5.9,0.8,7.5,0,Unfurnished,Apartment,18468000.0
Gurgaon,Sector 29,1491,4,0,5,0,5.4,1.9,11.0,1,Unfurnished,Apartment,12823000.0
Gurgaon,New Gurgaon,1102,2,4,5,8,7.5,5.6,10.9,0,Unfurnished,Apartment,4943000.0
Gurgaon,Sector 29,1486,2,9,10,1,7.6,0.9,8.1,2,Unfurnished,Apartment,14907000.0
Gurgaon,New Gurgaon,865,1,11,15,0,2.8,0.3,10.3,1,Unfurnished,Apartment,4874000.0
Gurgaon,Palam Vihar,998,2,11,15,0,2.5,2.1,11.2,2,Fully Furnished,Apartment,5073000.0
Gurgaon,Sector 56-57,1245,2,20,20,23,5.8,4.1,14.0,0,Semi-Furnished,Builder Floor,5929000.0
Gurgaon,Sector 29,1766,5,18,40,0,4.7,1.8,15.0,0,Fully Furnished,Apartment,17799000.0
Gurgaon,Manesar,1271,4,10,15,18,1.8,1.8,8.1,2,Fully Furnished,Apartment,4278000.0
Gurgaon,Manesar,637,1,2,5,3,5.4,2.0,7.8,0,Unfurnished,Villa,3976000.0
Gurgaon,New Gurgaon,1232,2,3,10,6,6.0,1.7,9.9,1,Fully Furnished,Villa,12663000.0
Gurgaon,Sector 29,1085,2,6,15,4,4.1,0.3,13.3,2,Fully Furnished,Apartment,11118000.0
Gurgaon,Manesar,825,1,5,10,1,1.0,2.6,7.4,1,Unfurnished,Apartment,2701000.0
Gurgaon,Sector 56-57,903,2,6,10,23,4.9,1.0,15.7,0,Fully Furnished,Apartment,2987000.0
Gurgaon,New Gurgaon,1070,2,4,20,7,5.4,2.0,10.3,2,Semi-Furnished,Apartment,6559000.0
Gurgaon,Palam Vihar,998,2,12,40,9,5.0,3.4,4.8,1,Semi-Furnished,Apartment,5056000.0
Gurgaon,Sector 56-57,1140,3,3,5,10,2.0,0.4,9.8,1,Unfurnished,Builder Floor,5271000.0
Gurgaon,Sector 29,1228,2,13,25,3,6.3,0.8,15.2,2,Semi-Furnished,Apartment,14128000.0
Gurgaon,Golf Course Road,2792,5,9,25,9,4.9,0.9,6.8,1,Unfurnished,Villa,38634000.0
Gurgaon,Sohna Road,1868,5,1,5,5,5.1,1.2,14.1,2,Semi-Furnished,Apartment,11126000.0
Gurgaon,Sohna Road,1382,2,16,20,1,6.4,0.2,10.0,0,Semi-Furnished,Apartment,12461000.0
Gurgaon,DLF Phase 1-3,1514,3,18,30,0,9.8,4.8,0.5,0,Fully Furnished,Apartment,20108000.0
Gurgaon,Sohna Road,1106,3,0,10,7,5.5,2.2,16.1,1,Semi-Furnished,Apartment,6938000.0
Gurgaon,Sohna Road,1269,3,17,20,5,4.8,11.0,11.1,0,Unfurnished,Apartment,6941000.0
Gurgaon,Sohna Road,1288,3,20,30,1,6.7,1.4,8.3,0,Semi-Furnished,Apartment,9040000.0
Gurgaon,New Gurgaon,1461,4,5,25,5,5.4,0.5,9.7,1,Semi-Furnished,Builder Floor,9703000.0
Gurgaon,Sohna Road,913,2,7,25,0,6.8,3.0,13.9,1,Semi-Furnished,Apartment,6211000.0
Gurgaon,Sector 56-57,1158,2,12,15,0,4.3,6.0,12.4,3,Fully Furnished,Apartment,5005000.0
Gurgaon,Golf Course Road,1998,5,16,20,0,6.5,1.5,2.3,2,Unfurnished,Builder Floor,32114000.0
Gurgaon,Manesar,1180,2,0,5,7,4.7,8.1,5.3,1,Semi-Furnished,Apartment,3345000.0
Gurgaon,Golf Course Road,1827,4,9,10,14,6.0,0.9,0.5,0,Fully Furnished,Apartment,27156000.0
Gurgaon,Golf Course Road,2441,5,4,25,8,7.6,1.7,5.0,1,Semi-Furnished,Builder Floor,36224000.0
Gurgaon,Manesar,1344,3,14,20,0,3.9,0.2,6.2,0,Unfurnished,Apartment,6990000.0
Gurgaon,Sector 56-57,1200,2,15,20,12,1.6,0.2,12.5,1,Unfurnished,Apartment,4208000.0
Gurgaon,Manesar,1012,2,20,20,13,5.0,1.6,3.9,2,Semi-Furnished,Apartment,3971000.0
Gurgaon,Manesar,1224,4,5,15,2,5.1,1.2,13.5,1,Fully Furnished,Apartment,5413000.0
Gurgaon,New Gurgaon,1571,5,7,20,5,9.4,5.5,8.3,1,Semi-Furnished,Apartment,9870000.0
Gurgaon,New Gurgaon,1381,2,4,20,12,6.8,1.2,5.0,1,Semi-Furnished,Apartment,8103000.0
Gurgaon,Sector 29,1043,2,28,30,12,7.7,4.4,8.3,0,Fully Furnished,Apartment,10719000.0
Gurgaon,Golf Course Road,1992,3,1,5,1,9.6,3.8,12.7,1,Fully Furnished,Villa,30292000.0
Gurgaon,Sector 56-57,1215,2,25,30,2,1.8,1.5,11.7,1,Unfurnished,Apartment,6058000.0
Gurgaon,Palam Vihar,697,1,15,20,0,3.8,2.0,10.7,1,Unfurnished,Apartment,3791000.0
Gurgaon,DLF Phase 1-3,1229,4,27,30,8,9.4,0.2,0.5,0,Unfurnished,Apartment,17328000.0
Gurgaon,Sector 56-57,1175,2,12,30,1,3.0,1.7,6.7,1,Unfurnished,Apartment,6919000.0
Gurgaon,Sohna Road,1380,3,37,40,1,2.8,5.4,11.4,0,Semi-Furnished,Apartment,8138000.0
Gurgaon,DLF Phase 1-3,1970,5,27,30,0,5.5,0.2,6.5,1,Semi-Furnished,Apartment,26363000.0
Gurgaon,Sohna Road,1362,2,9,25,8,4.1,5.0,5.4,1,Fully Furnished,Builder Floor,10158000.0
Gurgaon,Golf Course Road,2037,4,1,20,1,5.5,0.9,3.8,0,Semi-Furnished,Apartment,29343000.0
Gurgaon,New Gurgaon,672,1,5,15,13,4.1,0.2,9.7,1,Semi-Furnished,Builder Floor,5131000.0
Gurgaon,Sector 56-57,1090,4,9,20,3,4.3,0.7,9.0,1,Unfurnished,Apartment,6119000.0
Gurgaon,Sector 29,1927,5,16,40,5,4.5,2.9,9.7,1,Fully Furnished,Apartment,14608000.0
